Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,4.84e-05,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
3.1700e-06,-0.0035,3.46328
3.1800e-06,-0.00348438,3.4625
3.1900e-06,-0.003375,3.4625
3.2000e-06,-0.003625,3.46391
3.2100e-06,-0.00332031,3.46453
3.2200e-06,-0.00345313,3.46141
3.2300e-06,-0.00338281,3.46594
3.2400e-06,-0.00350781,3.46172
3.2500e-06,-0.00346875,3.46609
3.2600e-06,-0.00361719,3.45984
3.2700e-06,-0.00372656,3.46344
3.2800e-06,-0.00327344,3.46031
3.2900e-06,-0.00359375,3.465
3.3000e-06,-0.00375,3.4625
3.3100e-06,-0.00357813,3.46531
3.3200e-06,-0.00323438,3.46219
3.3300e-06,-0.00359375,3.46578
3.3400e-06,-0.00353906,3.46422
3.3500e-06,-0.00353906,3.46484
3.3600e-06,-0.00349219,3.46047
3.3700e-06,-0.00348438,3.46422
3.3800e-06,-0.0035,3.46172
3.3900e-06,-0.00346875,3.46234
3.4000e-06,-0.00340625,3.46672
3.4100e-06,-0.00338281,3.4625
3.4200e-06,-0.00365625,3.46406
3.4300e-06,-0.00359375,3.46625
3.4400e-06,-0.00352344,3.46156
3.4500e-06,-0.00346875,3.46328
3.4600e-06,-0.00345313,3.46516
3.4700e-06,-0.00377344,3.46344
3.4800e-06,-0.0034375,3.46234
3.4900e-06,-0.00363281,3.465
3.5000e-06,-0.00345313,3.46672
3.5100e-06,-0.00346875,3.46578
3.5200e-06,-0.00364844,3.46391
3.5300e-06,-0.00346875,3.46625
3.5400e-06,-0.00355469,3.46297
3.5500e-06,-0.00332031,3.46672
3.5600e-06,-0.00354688,3.46344
3.5700e-06,-0.00352344,3.46609
3.5800e-06,-0.00361719,3.46203
3.5900e-06,-0.00366406,3.46422
3.6000e-06,-0.0033125,3.46188
3.6100e-06,-0.003625,3.46469
3.6200e-06,-0.00384375,3.46094
3.6300e-06,-0.00357813,3.46344
3.6400e-06,-0.00329687,3.46563
3.6500e-06,-0.00358594,3.46328
3.6600e-06,-0.00354688,3.46328
3.6700e-06,-0.00367188,3.46234
3.6800e-06,-0.00352344,3.46125
3.6900e-06,-0.00341406,3.46547
3.7000e-06,-0.00345313,3.46109
3.7100e-06,-0.00344531,3.46328
3.7200e-06,-0.00354688,3.46375
3.7300e-06,-0.00342969,3.46094
3.7400e-06,-0.00345313,3.46281
3.7500e-06,-0.00371875,3.46422
3.7600e-06,-0.00364063,3.46203
3.7700e-06,-0.00348438,3.46234
3.7800e-06,-0.00346094,3.46469
3.7900e-06,-0.00389062,3.46266
3.8000e-06,-0.00358594,3.46297
3.8100e-06,-0.00373438,3.46312
3.8200e-06,-0.00346094,3.46266
3.8300e-06,-0.00335937,3.46266
3.8400e-06,-0.00369531,3.46344
3.8500e-06,-0.00353125,3.46563
3.8600e-06,-0.00353906,3.46125
3.8700e-06,-0.0034375,3.46547
3.8800e-06,-0.00366406,3.46297
3.8900e-06,-0.00353125,3.4675
3.9000e-06,-0.00367969,3.46078
3.9100e-06,-0.00376562,3.46172
3.9200e-06,-0.00332812,3.46141
3.9300e-06,-0.003625,3.46125
3.9400e-06,-0.00374219,3.46281
3.9500e-06,-0.00353906,3.46437
3.9600e-06,-0.00325,3.4625
3.9700e-06,-0.00355469,3.46484
3.9800e-06,-0.00358594,3.46359
3.9900e-06,-0.00364063,3.46234
4.0000e-06,-0.00353125,3.46125
4.0100e-06,-0.00353906,3.46391
4.0200e-06,-0.00363281,3.46141
4.0300e-06,-0.00346875,3.46359
4.0400e-06,-0.00340625,3.46531
4.0500e-06,-0.00353125,3.46172
4.0600e-06,-0.00365625,3.46234
4.0700e-06,-0.00371094,3.46578
4.0800e-06,-0.00364844,3.46156
4.0900e-06,-0.00349219,3.46094
4.1000e-06,-0.0035,3.46437
4.1100e-06,-0.00379687,3.46203
4.1200e-06,-0.00335937,3.46156
4.1300e-06,-0.00353125,3.46125
4.1400e-06,-0.00355469,3.46391
4.1500e-06,-0.003375,3.46297
4.1600e-06,-0.00355469,3.46375
4.1700e-06,-0.00352344,3.46547
4.1800e-06,-0.00364063,3.46219
4.1900e-06,-0.00330469,3.46531
4.2000e-06,-0.00373438,3.4625
4.2100e-06,-0.00367969,3.46641
4.2200e-06,-0.00372656,3.46094
4.2300e-06,-0.00384375,3.46109
4.2400e-06,-0.00335156,3.46
4.2500e-06,-0.00360156,3.46266
4.2600e-06,-0.00372656,3.46141
4.2700e-06,-0.00347656,3.46703
4.2800e-06,-0.00328906,3.46344
4.2900e-06,-0.00363281,3.4625
4.3000e-06,-0.00358594,3.46359
4.3100e-06,-0.00373438,3.46219
4.3200e-06,-0.00367188,3.45953
4.3300e-06,-0.0035625,3.46422
4.3400e-06,-0.00359375,3.46078
4.3500e-06,-0.00360938,3.46406
4.3600e-06,-0.0036875,3.46547
4.3700e-06,-0.00349219,3.46141
4.3800e-06,-0.0035625,3.46297
4.3900e-06,-0.003625,3.46531
4.4000e-06,-0.00371094,3.46188
4.4100e-06,-0.00352344,3.46063
4.4200e-06,-0.0035,3.46531
4.4300e-06,-0.0038125,3.46281
4.4400e-06,-0.00345313,3.46547
4.4500e-06,-0.00370313,3.46188
4.4600e-06,-0.00342969,3.46219
4.4700e-06,-0.0035625,3.4625
4.4800e-06,-0.00378906,3.46375
4.4900e-06,-0.00358594,3.46375
4.5000e-06,-0.00365625,3.46281
4.5100e-06,-0.00328906,3.46531
4.5200e-06,-0.00360938,3.46016
4.5300e-06,-0.00371875,3.46406
4.5400e-06,-0.00364844,3.46203
4.5500e-06,-0.00371875,3.46297
4.5600e-06,-0.00345313,3.46078
4.5700e-06,-0.00363281,3.46437
4.5800e-06,-0.00375,3.46156
4.5900e-06,-0.00354688,3.46094
4.6000e-06,-0.00332812,3.46188
4.6100e-06,-0.003625,3.46203
4.6200e-06,-0.00365625,3.46297
4.6300e-06,-0.00367188,3.46125
4.6400e-06,-0.00355469,3.46109
4.6500e-06,-0.0035,3.46406
4.6600e-06,-0.0035625,3.46031
