Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,2.376e-05,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
1.4322e-05,-0.00878125,-0.0670312
1.4324e-05,-0.00728125,-0.0621875
1.4326e-05,-0.0102188,-0.0679687
1.4328e-05,-0.00934375,-0.0653125
1.4330e-05,-0.00959375,-0.0626562
1.4332e-05,-0.00940625,-0.066875
1.4334e-05,-0.0086875,-0.0623438
1.4336e-05,-0.009,-0.0654687
1.4338e-05,-0.009125,-0.0648438
1.4340e-05,-0.009125,-0.0660937
1.4342e-05,-0.00909375,-0.061875
1.4344e-05,-0.0093125,-0.0657813
1.4346e-05,-0.0086875,-0.0696875
1.4348e-05,-0.008375,-0.065
1.4350e-05,-0.00909375,-0.0676563
1.4352e-05,-0.00853125,-0.0628125
1.4354e-05,-0.00946875,-0.0671875
1.4356e-05,-0.00946875,-0.0646875
1.4358e-05,-0.00928125,-0.064375
1.4360e-05,-0.00825,-0.064375
1.4362e-05,-0.009375,-0.0678125
1.4364e-05,-0.00915625,-0.0648438
1.4366e-05,-0.0090625,-0.0653125
1.4368e-05,-0.0094375,-0.0632813
1.4370e-05,-0.00878125,-0.064375
1.4372e-05,-0.0101563,-0.064375
1.4374e-05,-0.009375,-0.0660937
1.4376e-05,-0.00875,-0.0653125
1.4378e-05,-0.00946875,-0.0628125
1.4380e-05,-0.009625,-0.0685938
1.4382e-05,-0.0090625,-0.06875
1.4384e-05,-0.009875,-0.0659375
1.4386e-05,-0.00978125,-0.0625
1.4388e-05,-0.00725,-0.0623438
1.4390e-05,-0.0104688,-0.0695312
1.4392e-05,-0.00915625,-0.06625
1.4394e-05,-0.00965625,-0.0639063
1.4396e-05,-0.0095,-0.0626562
1.4398e-05,-0.0086875,-0.0639063
1.4400e-05,-0.00903125,-0.066875
1.4402e-05,-0.00909375,-0.0653125
1.4404e-05,-0.0095,-0.0664062
1.4406e-05,-0.008625,-0.0646875
1.4408e-05,-0.0093125,-0.0670312
1.4410e-05,-0.008625,-0.066875
1.4412e-05,-0.00884375,-0.066875
1.4414e-05,-0.0095625,-0.0673438
1.4416e-05,-0.0090625,-0.0632813
1.4418e-05,-0.0099375,-0.0689062
1.4420e-05,-0.00946875,-0.0646875
1.4422e-05,-0.008875,-0.0632813
1.4424e-05,-0.0085,-0.0628125
1.4426e-05,-0.0091875,-0.0659375
1.4428e-05,-0.009125,-0.0659375
1.4430e-05,-0.0088125,-0.0671875
1.4432e-05,-0.00909375,-0.0665625
1.4434e-05,-0.00965625,-0.063125
1.4436e-05,-0.00984375,-0.0617187
1.4438e-05,-0.00953125,-0.0639063
1.4440e-05,-0.0086875,-0.0653125
1.4442e-05,-0.00915625,-0.0648438
1.4444e-05,-0.00978125,-0.0654687
1.4446e-05,-0.0090625,-0.0653125
1.4448e-05,-0.0102188,-0.0653125
1.4450e-05,-0.009625,-0.0657813
1.4452e-05,-0.00846875,-0.0610937
1.4454e-05,-0.010375,-0.0701563
1.4456e-05,-0.009,-0.0651563
1.4458e-05,-0.0100313,-0.0632813
1.4460e-05,-0.0095,-0.0642188
1.4462e-05,-0.00853125,-0.0628125
1.4464e-05,-0.00875,-0.0685938
1.4466e-05,-0.0093125,-0.0629688
1.4468e-05,-0.00996875,-0.0671875
1.4470e-05,-0.00971875,-0.0625
1.4472e-05,-0.0101875,-0.0621875
1.4474e-05,-0.00859375,-0.0675
1.4476e-05,-0.0086875,-0.0665625
1.4478e-05,-0.00921875,-0.066875
1.4480e-05,-0.009125,-0.0634375
1.4482e-05,-0.009875,-0.0640625
1.4484e-05,-0.0100938,-0.0646875
1.4486e-05,-0.0094375,-0.06375
1.4488e-05,-0.00821875,-0.061875
1.4490e-05,-0.0098125,-0.0670312
1.4492e-05,-0.00915625,-0.0642188
1.4494e-05,-0.00965625,-0.0642188
1.4496e-05,-0.00921875,-0.064375
1.4498e-05,-0.00978125,-0.0629688
1.4500e-05,-0.0102813,-0.0645312
1.4502e-05,-0.00990625,-0.065625
1.4504e-05,-0.00925,-0.0657813
1.4506e-05,-0.01075,-0.0651563
1.4508e-05,-0.0095,-0.0690625
1.4510e-05,-0.0098125,-0.0698437
1.4512e-05,-0.00990625,-0.0667188
1.4514e-05,-0.00984375,-0.0667188
1.4516e-05,-0.00890625,-0.0645312
1.4518e-05,-0.0110312,-0.0673438
1.4520e-05,-0.00959375,-0.0642188
1.4522e-05,-0.010125,-0.0634375
1.4524e-05,-0.0094375,-0.0614063
1.4526e-05,-0.00921875,-0.0621875
1.4528e-05,-0.0102188,-0.0684375
1.4530e-05,-0.00909375,-0.0621875
1.4532e-05,-0.00990625,-0.063125
1.4534e-05,-0.00959375,-0.0617187
1.4536e-05,-0.01,-0.0648438
1.4538e-05,-0.00921875,-0.0682813
1.4540e-05,-0.00915625,-0.0653125
1.4542e-05,-0.00975,-0.0682813
1.4544e-05,-0.00965625,-0.0610937
1.4546e-05,-0.00978125,-0.0692188
1.4548e-05,-0.0104063,-0.0634375
1.4550e-05,-0.00975,-0.0651563
1.4552e-05,-0.0085,-0.0623438
1.4554e-05,-0.01,-0.0654687
1.4556e-05,-0.0095625,-0.0664062
1.4558e-05,-0.00990625,-0.0671875
1.4560e-05,-0.00996875,-0.0639063
1.4562e-05,-0.0100313,-0.0620312
1.4564e-05,-0.0103125,-0.0629688
1.4566e-05,-0.009625,-0.0670312
1.4568e-05,-0.0090625,-0.0645312
1.4570e-05,-0.0105,-0.0646875
1.4572e-05,-0.00971875,-0.0673438
1.4574e-05,-0.00940625,-0.0659375
1.4576e-05,-0.0104063,-0.0682813
1.4578e-05,-0.009875,-0.0651563
1.4580e-05,-0.00925,-0.0653125
1.4582e-05,-0.010625,-0.07125
1.4584e-05,-0.0095625,-0.0667188
1.4586e-05,-0.0102188,-0.0621875
1.4588e-05,-0.010125,-0.06375
1.4590e-05,-0.00959375,-0.0642188
1.4592e-05,-0.0105,-0.0692188
1.4594e-05,-0.009625,-0.0623438
1.4596e-05,-0.0101563,-0.0659375
1.4598e-05,-0.0095625,-0.0620312
1.4600e-05,-0.0107188,-0.0634375
1.4602e-05,-0.00953125,-0.0646875
1.4604e-05,-0.00996875,-0.065
1.4606e-05,-0.0100625,-0.0698437
1.4608e-05,-0.0106563,-0.06125
1.4610e-05,-0.00996875,-0.0665625
1.4612e-05,-0.0107813,-0.065
1.4614e-05,-0.0098125,-0.063125
1.4616e-05,-0.00921875,-0.063125
1.4618e-05,-0.0102813,-0.0685938
1.4620e-05,-0.00971875,-0.0665625
1.4622e-05,-0.010125,-0.0682813
1.4624e-05,-0.00996875,-0.0621875
1.4626e-05,-0.0101875,-0.061875
1.4628e-05,-0.0108125,-0.0629688
1.4630e-05,-0.0100625,-0.0660937
1.4632e-05,-0.00959375,-0.06375
1.4634e-05,-0.010875,-0.0646875
1.4636e-05,-0.0102813,-0.066875
1.4638e-05,-0.0103125,-0.0665625
1.4640e-05,-0.0105625,-0.0651563
1.4642e-05,-0.0103125,-0.065
1.4644e-05,-0.01,-0.0617187
1.4646e-05,-0.0110625,-0.0682813
1.4648e-05,-0.0102813,-0.0645312
1.4650e-05,-0.011,-0.0629688
1.4652e-05,-0.0100313,-0.0632813
1.4654e-05,-0.0099375,-0.0642188
1.4656e-05,-0.0105313,-0.0678125
1.4658e-05,-0.00971875,-0.0614063
1.4660e-05,-0.0100938,-0.0634375
1.4662e-05,-0.0102188,-0.0628125
1.4664e-05,-0.010875,-0.0609375
1.4666e-05,-0.00965625,-0.0654687
1.4668e-05,-0.0107813,-0.0657813
1.4670e-05,-0.0102813,-0.0673438
1.4672e-05,-0.0110625,-0.06125
1.4674e-05,-0.010375,-0.0701563
1.4676e-05,-0.0111875,-0.0645312
1.4678e-05,-0.0100938,-0.061875
1.4680e-05,-0.009375,-0.0623438
1.4682e-05,-0.0103125,-0.066875
1.4684e-05,-0.0105625,-0.061875
1.4686e-05,-0.0110312,-0.0664062
1.4688e-05,-0.0110625,-0.0620312
1.4690e-05,-0.0104063,-0.06375
1.4692e-05,-0.0110625,-0.0646875
1.4694e-05,-0.0104375,-0.0670312
1.4696e-05,-0.00965625,-0.0648438
1.4698e-05,-0.01125,-0.0617187
1.4700e-05,-0.0107813,-0.0659375
1.4702e-05,-0.0105,-0.0651563
1.4704e-05,-0.0114375,-0.0675
1.4706e-05,-0.0112812,-0.064375
1.4708e-05,-0.0104688,-0.0639063
1.4710e-05,-0.0110625,-0.0673438
1.4712e-05,-0.0106875,-0.0629688
1.4714e-05,-0.0107813,-0.0604688
1.4716e-05,-0.0106563,-0.0620312
1.4718e-05,-0.0100938,-0.0635937
1.4720e-05,-0.0109375,-0.0629688
1.4722e-05,-0.0108438,-0.06
1.4724e-05,-0.011,-0.0625
1.4726e-05,-0.010375,-0.0615625
1.4728e-05,-0.0112812,-0.0646875
1.4730e-05,-0.0104688,-0.0660937
1.4732e-05,-0.0116875,-0.065625
1.4734e-05,-0.0109063,-0.0679687
